2020,,,,,,
['NYCHA Hosts Inaugural Speed Mentoring Event for Resident Members of its Youth Leadership Council'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180222.page'],['resident'],[' launched in 2016'],[],"{'2016', '2026', '2023', '2018'}",[]
['NYCHA Honors Second Cohort of Graduates from Sandy Jobs Training Program'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180216.page'],['program'],[],[],"{'2015', '2023', '2018'}",['gowanus']
['NYCHA Releases 2017 End of Year Report on $3 Billion FEMA Grant'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180213.page '],"['fema', 'grant', 'report']",[],[],"{'2019', '2012', '2021', '2015', '1900', '2017', '2023', '2018'}","['astoria', 'grant', 'haber', 'rangel']"
['Mayor de Blasio Invests $200 Million to Replace Boilers and Upgrade Heating Systems at 20 NYCHA Developments'],['http://www1.nyc.gov/office-of-the-mayor/news/072-18/mayor-de-blasio-invests-200-million-replace-boilers-upgrade-heating-systems-20-nycha'],"['heating', 'upgrade', 'replace', 'boilers', 'developments']",[],[],"{'2019', '2022', '2014', '2018', '2027'}","['baruch', 'farragut', 'grant', 'pomonok', 'south beach']"
"['NYCHA Announces New Partnerships to Raise $40 Million for Repairs, Build New Affordable Homes']",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/new-40-million-partnerships-20180126.page'],['build'],[],[],"{'2015', '2000', '1970', '2023', '2018', '2003', '2026', '2013'}","['sumner', 'wyckoff gardens']"
"['NYCHA Announces New Partnerships to Repair and Upgrade 1,700 Apartments Across 17 Developments']",['https://www1.nyc.gov/site/nycha/about/press/pr-2018/new-partnerships-20180118.page'],"['upgrade', 'repair', 'developments']",[],[],"{'2023', '2018'}",['bushwick']
['Mayor de Blasio Dedicates $13 Million to Speed NYCHA Response to Heat Outages and Replace Equipment at Hardest-Hit Buildings'],['http://www1.nyc.gov/office-of-the-mayor/news/043-18/mayor-de-blasio-dedicates-13-million-speed-nycha-response-heat-outages-replace-equipment'],"['heat', 'replace', 'buildings', 'equipment']",[],[],"{'1961', '2014', '2018'}",['grant']
"['NYCHA, The Fund for Public Housing and CUNY Launch Resident Leadership Academy to Empower Next Generation of NYCHA Resident Leaders']",['https://www1.nyc.gov/site/nycha/about/press/pr-2018/rla-20180117.page'],"['resident', 'housing', 'public', 'fund', 'generation']",[],[],"{'2023', '2018'}","['johnson', 'washington']"
['NYCHA Announces $103 Million in New Energy Contracts to Improve Efficiency and Heating at 41 Developments'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/103-MILLION-IN-NEW-ENERGY-CONTRACTS-2018-01-08.page'],"['energy', 'heating', 'efficiency', 'improve', 'developments']",[],[],"{'2050', '2025', '2023', '2018', '2026'}",['smith']
2017,,,,,,
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings
"['NYCHA, CM Reynoso & NYPD Housing PSA #3 Tour Site of Future Playground at Hylan Houses']",['http://www1.nyc.gov/site/nycha/about/press/pr-2017/hylan-20171212.page'],"['housing', 'houses', 'site', 'future']",[],[],"{'2017', '2023', '2018'}",['hylan']
['Plus Pool Honors the President of the Fund for Public Housing for Outstanding Commitment to NYC Community'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/plus-pool-20171108.page'],"['housing', 'public', 'fund', 'commitment']",[],[],"{'2017', '2016', '2023'}",['forest']
"['In Only 6 Hours, NYCHA & KaBoom! Build Community Playground at Pomonok Houses']",['http://www1.nyc.gov/site/nycha/about/press/pr-2017/kaboom-20171107.page'],"['houses', 'build']",[],[],"{'2017', '2023', '1996'}",['pomonok']
['NYCHA Honors First Cohort of Graduates From Sandy Job Training Program'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/sandy-20171106.page'],['program'],[],[],"{'2017', '2023'}",['gowanus']
['NYCHA & Hudson Guild Provide Critically Needed Senior Services Through New Center for Low Income Chelsea Residents'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/hudson-guild-20171102.page'],"['provide', 'center', 'residents']",[],[' completed in 1965'],"{'2017', '1965', '2023', '2019'}","['chelsea', 'fulton', 'johnson']"
['NYCHA Begins $123 Million Sandy Recovery Project at Redfern Houses in Queens'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/sandy-redfern-20171027.page'],"['project', 'houses', 'recovery']",[],[],"{'2017', '2023', '2019'}","['brown', 'grant', 'redfern']"
['New Jobs Plus Center Creates Career Opportunities & Financial Stability for Public Housing Residents'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/jobs-plus-20171026.page'],"['housing', 'public', 'center', 'residents']",[],[],"{'2004', '2017', '2016', '2023', '2013'}","['adams', 'grant']"
['NYCHA Expands Successful NextGen Operations Program Manhattan-Wide'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/nextgen-op-20171023.page'],['program'],[],[],"{'2015', '2017', '2016', '2023', '2018'}",[]
['The Fund for Public Housing Announces Inaugural NYCHA Tech Pilots Winners'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/tech-winners-20171016.page'],"['housing', 'public', 'fund']",[],[' completed in 2018'],"{'2017', '2010', '2023', '2018'}","['hernandez', 'robinson']"
['De Blasio Administration Launches First Large-Scale Solar Program at NYCHA'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/solar-20171013.page'],"['program', 'administration']",[],[],"{'2019', '2006', '2050', '2025', '2017', '2020', '2023', '2018'}",['wald']
"['Housing Authority Unveils New Digital ""NYCHA Journal"" Newspaper']",['http://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-journal-20171010.page'],['housing'],[],[],"{'2017', '1970', '2023'}",[]
['NYCHA Celebrates 80 Year Anniversary Of Historic Harlem River Houses'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/harlem-80th-anniversary-20171002.page'],['houses'],[],[],"{'1975', '1979', '2017', '2023', '1937'}","['harlem river', 'lincoln', 'wilson']"
['NYCHA Unveils NextGen Neighborhoods Site at Cooper Park Houses to Provide Overdue Repairs for Residents & New Community Features'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/ngn-cooper-park-20171002.page'],"['houses', 'provide', 'site', 'residents']",[],[],"{'2017', '2023', '2018', '2000'}","['cooper park', 'holmes towers', 'la guardia', 'wyckoff gardens']"
"['NYCHA, The Fund For Public Housing, & Ioby Launch Innovative Crowdfunding Portal for Resident-Driven Sustainability Projects']",['http://www1.nyc.gov/site/nycha/about/press/pr-2017/fund-ioby-20170926.page'],"['resident', 'housing', 'sustainability', 'public', 'fund', 'innovative']",[],[],{'2023'},[]
['23 Outstanding Public Housing Residents Receive NYCHA-CUNY Scholarships'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-cuny-20170920.page'],"['housing', 'public', 'residents']",[' launched in 2005'],[],"{'2017', '2005', '2023', '2027'}","['adams', 'baruch', 'breukelen', 'brown', 'brownsville', 'butler', 'castle hill', 'fulton', 'isaacs', 'johnson', 'kingsborough', 'lehman', 'melrose', 'mott haven', 'stapleton', 'taft', 'tompkins', 'van dyke i', 'vladeck', 'wagner', 'woodside']"
['NYCHA Breaks Ground on Landmark $550 Million Sandy Recovery Project at Red Hook Houses'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/red-hook-sandy-groundbreaking-20170906.page'],"['project', 'houses', 'recovery']",[],[],"{'2017', '2021', '2023'}","['grant', 'red hook east', 'red hook west']"
"['NYCHA Achieves Key NextGen Goal, Completes Roll Out of Online Annual Recertifications for All Residents']",['http://www1.nyc.gov/site/nycha/about/press/pr-2017/nextgen-up-close-20170901.page'],"['goal', 'annual', 'residents']",[],[],"{'2017', '2023'}",[]
['NYCHA Awarded High Performer Status for Section 8 Program From HUD'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/sec-8-20170829.page'],"['program', 'hud']",[],[],"{'2004', '2015', '2017', '2016', '2000', '2023'}",[]
['NYCHA & Citi Bike® Announce Partnership to Open Citi Bike Operations Facilities at Riis Houses'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/citibike-20170822.page'],"['houses', 'partnership']",[],[],"{'2017', '2016', '2015', '2023'}","['clinton', 'gowanus', 'riis', 'wald', 'washington', 'whitman']"
"['NYCHA Announces Expansion of Permanent Affordability Commitment Together (PACT) Program to Protect Long-Term Affordability for Over 4,000 Unfunded Apartments']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/20170713-pact.page'],"['program', 'commitment']",[],[],"{'2019', '2017', '2023', '2018', '2026'}",[]
"[""NYCHA, NYS, and HUD Announce $560 Million Upgrade and Preservation of NYCHA's Ocean Bay Bayside Apartments in Far Rockaway""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/bayside-apartments-20170619.page'],"['upgrade', 'hud']",[],[],"{'1944', '2017', '2000', '2023', '2018', '1960'}",['mitchel']
['NYCHA Recognized for Excellence in Project Management by the Construction Management Association of America'],['http://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-ocmaa-20170615.page'],"['project', 'management', 'construction', 'association']",[],[],{'2023'},[]
"[""HUD & NYCHA Partner to Connect Dads to Their Families, Communities & Resources Ahead of Father's Day""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-hud-fathers-day-20170615.page'],['hud'],[],[],"{'2017', '2010', '2023'}","['brown', 'brownsville', 'highbridge gardens', 'johnson', 'lexington', 'sotomayor']"
"[""The Fund for Public Housing Launches Innovative Tech Competition to Partner with City's Startups & Benefit Public Housing""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/fund-for-public-housing-20170609.page '],"['housing', 'public', 'fund', 'innovative']",[],[],"{'2017', '2023'}",[]
['De Blasio Administration Announces Completion of Camera Installation at 22 NYCHA Developments'],['http://www1.nyc.gov/office-of-the-mayor/news/396-17/de-blasio-administration-completion-camera-installation-22-nycha-developments'],"['installation', 'administration', 'developments', 'completion']",[],[],"{'2017', '1900', '2014', '2018'}","['berry', 'butler', 'farragut', 'ingersoll', 'lafayette', 'ravenswood', 'south beach', 'todt hill', 'whitman']"
"['NYCHA Announces Completion of New Lighting at 18 Developments in Brooklyn, Benefitting More Than 36,000 Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/new-lighting-announcement-20170602.page '],"['lighting', 'developments', 'residents', 'benefitting', 'completion']",[],[],"{'2017', '2023', '2018'}",[]
"['NYCHA, HPD Call for 100% Affordable Housing Proposals at Sites Across the City']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-hpd-20170601.page'],['housing'],[],[],"{'2017', '2015', '2023', '2000'}","['harborview terrace', 'morrisania', 'morrisania air rights', 'sumner']"
"['NYCHA Releases Request for Proposals for Permanent Affordability Commitment Together (PACT) Program to Raise Funds for Repairs & Protect 1,700 Public Housing Apartments']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/pact-rfp-20170523.page'],"['program', 'housing', 'public', 'commitment']",[],[],"{'2017', '2023'}",[]
"[""Statement From NYCHA Chair on Trump Administration's FY 2018 Budget Proposal""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/statement-potus-budget-proposal-20170523.page'],"['administration', 'proposal']",[],[],"{'2017', '2023', '2018'}",[]
"['NYCHA Breaks Ground at Coney Island Houses, Recovery Project Will Improve Quality of Life for More Than 1,100 Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/coney-island-20170519.page'],"['project', 'houses', 'quality', 'improve', 'island', 'recovery', 'residents']",[],[],"{'2017', '1998', '2023'}","['coney island', 'grant']"
"['NYCHA Announces Developer Selection at Holmes Towers for NextGen Neighborhoods Program, Raising Critically Needed Funds for Repairs and Creating New Affordable Housing']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nextgenneighborhoods-20170517.page '],"['program', 'housing']",[],[],"{'2017', '2000', '2023', '2003', '2013'}","['holmes towers', 'isaacs']"
"['""NextGen Up-Close"" Checks in with New York City College of Technology Where NYCHA Residents are Getting Hands On Construction Training']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nyc-college-of-technology-20170516.page '],"['construction', 'residents']",[],[],"{'2017', '2010', '2023'}",[]
"['On Second Anniversary of NextGen NYCHA, Mayor De Blasio Invests $355 Million to Replace Crumbling Facades']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/baruch-20170515.page'],['replace'],[],[],"{'2017', '2001', '2015', '2023'}",['baruch']
"[""NYCHA's Howard Avenue Receives $1 Million Energy-Efficiency Upgrades as First Project in Pilot by New York State Weatherization Assistance Program""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/howard-ave-20170511.page'],"['energy', 'program', 'project', 'efficiency', 'weatherization', 'upgrades']",[],[],"{'2011', '2015', '2025', '2017', '2023'}","['adams', 'brown', 'grant', 'howard', 'howard avenue']"
"['City Officials Join Artimus and Partners to Celebrate the Start of Construction at Robert Fulton Houses, A New 160-Unit Affordable Housing Development']",['http://www1.nyc.gov/site/nycha/about/press/pr-2017/city-officials-join-artimus-and-partners-to-celebrate-the-start-of-construction-at-robert-fulton-houses-20170505.page+.page'],"['housing', 'houses', 'development', 'unit', 'construction']",[],[],"{'2006', '2017', '2000', '2007', '2023', '2003', '2013'}","['chelsea', 'fulton', 'harborview terrace']"
['Resident Engagement Begins at La Guardia Houses to Create Affordable Housing and Raise Critical Funds for Badly Needed Repairs through NextGen Neighborhoods Program'],['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nextgen-laguardia-20170428.page'],"['resident', 'program', 'housing', 'houses']",[],[],"{'2017', '2023', '2018', '2000'}","['clinton', 'holmes towers', 'la guardia', 'rutgers']"
"['NYCHA Launches Mold Busters, New Pilot Program to Combat Mold']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-launches-mold-busters-new-pilot-porgram-to-combat-mold-20170424.page'],['program'],[],[],"{'2017', '2018', '2023', '2013'}",[]
"['NYCHA, HPD and HDC Announce New 100 Percent Affordable Housing Bringing 250 New Units to the South Bronx']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/100-percent-affordable-20170421.page'],"['housing', 'percent']",[],[],"{'2017', '2023', '2000'}",['mott haven']
"['NYCHA and DEP Celebrate Earth Day, Highlight Progress of Green Infrastructure Installation at Edenwald Houses in the Bronx']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-and-dep-celebrate-earth-day-highlight-progress-of-green-infrastructure-installation-at-edenwald-houses-20170420.page '],"['houses', 'dep', 'green', 'installation', 'infrastructure', 'progress']",[],[],"{'2017', '2016', '2010', '2023'}","['edenwald', 'wald']"
['NYCHA Begins Work on the Largest Public Housing Energy Savings Program in the Nation'],['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-begins-work-on-largest-public-housing-energy-savings-program-in-the-nation-20170406.page '],"['energy', 'program', 'housing', 'work', 'public']",[],[],"{'2050', '2017', '2016', '2000', '2023', '2018'}","['clason point gardens', 'vladeck', 'whitman']"
"[""American Institute of Architecture Recognizes NYCHA's Red Hook Houses Resiliency Project for Outstanding Design""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/american-institute-of-architecture-recognizes-nychas-red-hook-houses-resiliency-project-for-outstanding-design-20170331.page'],"['project', 'houses', 'resiliency', 'design']",[],[],"{'2017', '2023'}",[]
"['NYCHA and HPD Announce List of Prequalified Developers for ""100 Percent Affordable"" Program']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/100-percent-affordable-developers-20170330.page'],"['program', 'percent']",[],[],"{'2017', '2016', '2023', '2000'}","['harborview terrace', 'morrisania', 'morrisania air rights', 'sumner']"
['NYCHA Chair Shola Olatoye Delivers Speech on the Future of Public Housing at NAHRO Conference in Washington'],['https://www1.nyc.gov/site/nycha/about/press/pr-2017/chair-shola-olatoye-delivers-speech-on-the-future-of-public-housing-at-nahro-conference-in-washington-20170328.page'],"['housing', 'public', 'future']",[],[],"{'2017', '2010', '2023', '2020'}","['grant', 'howard', 'wagner', 'washington', 'white']"
"[""Mayor's Office of Criminal Justice & NYCHA Announce New Safety Lighting Completed Creating Safer Communities for More than 14,000 Brooklyn Residents""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/mayors-office-of-criminal-justice-and-nycha-announce-new-safety-lighting-completed-creating-safer-communities-for-more-than-14000-brooklyn-residents-20160316.page '],"['lighting', 'residents', 'completed', 'safer']",[],[],"{'2014', '2015', '2017', '2016', '2023'}","['brown', 'brownsville', 'bushwick', 'butler', 'castle hill', 'ingersoll', 'polo grounds towers', 'saint nicholas', 'stapleton', 'tompkins']"
"[""NYCHA & Mayor's Office of Tech + Innovation Announce Winning Proposals to Improve Energy Efficiency""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-mayors-office-of-tech-and-innovation-announce-winning-proposals-to-improve-energy-efficiency-20170315.page '],"['energy', 'efficiency', 'improve']",[],[],"{'2017', '2023'}",[]
"[""NYCHA Helping Residents Get Every Dollar They've Earned in Tax Refunds this Year by Doubling the Number of Free NYCHA Tax Prep Sites""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-doubles-the-number-of-free-tax-prep-sites-20170215.page'],"['dollar', 'helping', 'residents']",[],[],{'2023'},[]
['NYCHA Joins the NYC Carbon Challenge in Fight Against Climate Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-joins-the-nyc-carbon-challenge-in-fight-against-climate-change-20170202.page '],"['change', 'carbon', 'climate', 'challenge']",[],[],"{'2050', '2023'}",['washington']
"['Mayor De Blasio Investing $1 Billion to Replace Roofs at More than 700 NYCHA Buildings, Combatting Leaks & Mold']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/mayor-de-blasio-investing-1-billion-to-replace-roofs-at-more-than-700-nycha-buildings-20170124.page '],"['replace', 'buildings']",[],[],{'2023'},[]
['Mayor De Blasio Appoints Public Housing Residents to the NYCHA Board'],['https://www1.nyc.gov/site/nycha/about/press/pr-2017/mayor-de-blasio-appoints-public-housing-residents-to-the-nycha-board-20170118.page '],"['housing', 'public', 'residents']",[],[],{'2023'},[]
"['NYCHA Granted Approval to Include 1,700 Additional Units in Permanent Affordability Commitment Together (PACT) Program, Raising $300 Million for Desperately Needed Repairs & Guaranteeing Permanent Affordability']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-granted-approval-to include-1700-additional-units-in-pact-program-20170118.page '],"['program', 'commitment']",[],[],"{'2017', '2016', '2023'}",['grant']
"['NYCHA Announces New Partnership with ""KaBOOM!"" for Series of Resident-Led Playground Design Workshops and Community-Based Playground Building Days']",['https://www1.nyc.gov/site/nycha/about/press/pr-2017/nycha-announces-new-partnership-with-kaboom%21-for-series-of-resident-led-playground-design-workshops-and-community-based-playground-building-days-20160110.page'],"['building', 'resident', 'partnership', 'design']",[],[],"{'2017', '2023', '1996'}",['adams']
2016,,,,,,
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings
"['NYCHA Closes First Agreement Under Permanent Affordability Commitment Together (PACT) Program in NYC, Ensuring Permanent Affordability & Bringing $325 Million for Repairs Benefiting Over 3700 Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/pact-agreement-20161229.page'],"['program', 'commitment', 'agreement', 'residents']",[],[],"{'2011', '2016', '2023', '1960', '2013'}","['grant', 'washington']"
['HUD Gives NYCHA an “A” for its Outstanding Section 8 Program Performance'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/hud-gives-nycha-an-a-for-its-outstanding-section-8-program-performance-20161228.page'],"['program', 'performance', 'hud']",[],[],"{'2030', '2004', '2015', '2000', '2016', '2023'}",[]
['Mayor’s Office Of Criminal Justice and NYCHA Announce Completion of Major Safety Lighting Installations and Expanded Programs to Reduce Crime at Butler Houses and Castle Hill Houses in the Bronx'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/mayors-office-of-criminal-justice-and-nycha-announce-completion-of-major-safety-lighting-installations-and-expanded-programs-to-reduce-crime-at-butler-houses-and-castle-hill-houses-20161220.page'],"['houses', 'reduce', 'lighting', 'completion']",[],[],"{'2014', '2015', '2017', '2016', '2023', '2018'}","['bushwick', 'butler', 'castle hill', 'ingersoll', 'polo grounds towers', 'stapleton']"
"['Mayor de Blasio, HUD Secretary Castro, and T-Mobile Announce 5,000 Families in Bronx Public Housing to Receive Free Tablets and Mobile Internet Service']",['http://www1.nyc.gov/office-of-the-mayor/news/956-16/mayor-de-blasio-hud-secretary-castro-t-mobile-5-000-families-bronx-public-housing#/0'],"['housing', 'public', 'service', 'hud', 'mobile']",[],[],"{'2017', '2016', '2015', '2025'}","['jefferson', 'mott haven', 'stapleton']"
"['Mayor De Blasio and NYCHA Announce Completion of Roof Replacements at Queensbridge Houses, North America’s Largest Public Housing Development']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/NYCHA-Completes-Roof-Replacements-at-QB-Houses-North-Americas-Largest-Public-Housing-Development-20161201.page'],"['housing', 'houses', 'development', 'public', 'roof', 'completion']",[],[],"{'2014', '2015', '2017', '2016', '2023'}","['mitchel', 'queensbridge north']"
['Mayor’s Office of Criminal Justice and NYCHA Announce Completion of 273 New Safety Lights and Expanded Programs to Reduce Crime at Saint Nicholas Houses in Manhattan'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/Mayors-Office-Nycha-Completion-Of-273-Safety-Lights-To-Reduce-Crime-At-ST-Nick-Houses-20161102.page'],"['houses', 'reduce', 'completion']",[],[],"{'2014', '2015', '2017', '2016', '2023', '2018'}","['bushwick', 'butler', 'castle hill', 'ingersoll', 'polo grounds towers', 'queensbridge north', 'rangel', 'saint nicholas', 'stapleton']"
['NYCHA Marks Sandy Anniversary with Major Reconstruction Projects; Record Number of Residents Employed in Recovery & Resilency Effort'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-marks-sandy-anniversary-with-major-reconstruction-projects-record-number-of-residents-employed-in-recovery-and-resilency-effort-20161027.page'],"['recovery', 'residents']",[],[],"{'2016', '2023'}",[]
"['The New York Public Library and NYCHA Announce New, Larger Site for Macomb’s Bridge Branch']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/new-york-public-library-and-nycha-announce-new-site-for-macomb-branch-20161027.page'],"['public', 'site']",[],[],"{'2019', '2022', '1944', '2016', '2023'}","['harlem river', 'rangel']"
['City Seeks Partners & Solutions to Increase Energy Efficiency and Reduce Utility Costs'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/city-seeks-partners-solutions-to-increase-energy-efficiency-and-reduce-utility-costs-20161018.page'],"['energy', 'efficiency', 'reduce', 'utility']",[],[],"{'2016', '2023'}",[]
['NYCHA Chair Shola Olatoye Addresses White House ‘Opportunity Project’ Forum'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-chair-shola-olatoye-addresses-white-house-forum-20161006.page'],['project'],[' launched in 2014'],[],"{'2000', '2016', '2023', '2014'}","['howard', 'washington', 'white']"
"['NYCHA Announces Handheld Maintenance Initiative, Providing Frontline Staff with Smartphones to Streamline Repairs and Improve Customer Service; Introduces New Public Space Feature to Residents’ Mobile Repair App']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-announces-handheld-maintenance-providing-smartphones-improve-cs-20161006.page'],"['repair', 'public', 'service', 'improve', 'initiative', 'residents', 'mobile']",[],[],"{'2014', '2015', '1930', '2017', '2016', '2023', '2013'}",['gowanus']
['NYCHA and NYC Parks Invite Holmes Towers Residents to Shape the Design of New Playground'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-and-nyc-parks-invite-holmes-residents-to-shape-design-of-playground-20160930.page'],"['residents', 'design']",[],[],"{'2017', '2016', '2023'}","['holmes towers', 'mitchel', 'wyckoff gardens']"
['HUD Publishes Evaluation of Rental Assistance Demonstration'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/hud-publishes-evaluation-of-rental-assistance-demonstration.page'],['hud'],[],[],"{'2017', '2016', '2015', '2023'}",[]
['NYCHA Awards Thousands of Dollars in College Scholarships to Outstanding CUNY Students Living in Public Housing'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-awards-thousands-of-dollars-in-college-scholarships-to-outstanding-cuny-students-living-in-public-housing.page'],"['housing', 'public', 'living']",[],[],"{'2016', '2023'}","['baruch', 'butler', 'carver', 'marcy', 'riis', 'throggs neck', 'white', 'whitman']"
['NYCHA Breaks Ground on $88 Million Recovery and Resiliency Project at Astoria Houses; Third Major Funded Project of $3 Billion Fema Grant – Largest In Us History – Moves Forward'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-breaks-ground-on-$88-million-recovery-and resiliency-project-at-astoria-houses.page'],"['project', 'houses', 'fema', 'resiliency', 'recovery', 'grant']",[],[],"{'2016', '2023'}","['astoria', 'grant']"
['NYCHA Seeks Partners for Job Training Placement-Programs for Sandy Recovery Construction'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-seeks-partners-for-job-training-placement-programs-for-sandy-recovery-construction.page'],"['construction', 'recovery']",[],[],"{'2016', '2023'}",[]
['NYCHA & City Council Majority Leader Jimmy Van Bramer Announce Completed Installation of More Than 620 New Safety Lights at Ravenswood Houses in Queens'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-city-council-majority-leader-jimmy-van-bramer-announce-completed-installation-of-more-than-620-new-safety-lights-at-ravenswood-houses-in-queens-20160818.page'],"['houses', 'installation', 'completed']",[],[],"{'2016', '2023'}",['ravenswood']
['Delivering for Public Housing: Mayor De Blasio Announces Completion of 358 New Safety Lights and Expanded Programs to Reduce Crime at Staten Island’s Stapleton Houses'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/Mayor-De-Blasio-Announces-Completion-of-358-New-Safety-Lights-and-Expanded-Programs-to-Reduce-Crime-at-Stapleton-Houses-20160804.page '],"['housing', 'houses', 'reduce', 'public', 'island', 'completion']",[],[],"{'2014', '2015', '2017', '2016', '2023', '2018'}","['bushwick', 'butler', 'castle hill', 'ingersoll', 'polo grounds towers', 'queensbridge north', 'stapleton']"
['NYCHA Breaks Ground on $41 Million Recovery and Resiliency Project in Coney Island; Second Major Funded Project of $3 Billion Fema Grant – Largest in US History – Moves Forward'],['https://www1.nyc.gov/site/nycha/about/press/pr-2016/NYCHA-Breaks-Ground-on-41-Million-Recovery-and-Resiliency-Project-in-Coney-Island.20160803.page '],"['project', 'fema', 'island', 'resiliency', 'recovery', 'grant']",[],[],"{'2016', '2023', '2014'}","['adams', 'astoria', 'carey gardens', 'carleton manor', 'coney island', 'grant', 'rangel', 'smith', 'surfside gardens', 'washington']"
"['NYCHA, IDNYC Announce New Partnership to Expand IDNYC Benefits to Public Housing Residents Citywide']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/NYCHA-Announce-New-Partnership-To-Expand-Benefits-To-Housing-Residents.20160802.page '],"['housing', 'public', 'partnership', 'residents']",[],[],"{'2016', '2023'}","['grant', 'sedgwick', 'white']"
"['NYCHA Recognized for Excellence in Construction Management, with Large-scale Projects Complete Ahead of Schedule']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-recognized-for-excellence-in-construction-mgmt-with-large-scale-projects-complete-ahead-of-schedule-20160721.page '],"['management', 'construction', 'complete']",[],[],"{'2016', '2015', '2023', '2013'}","['kingsborough', 'ravenswood']"
"['De Blasio Administration Pushes for More Non-Profit, MWBE Partners for Affordable Housing Development']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/de-blasio-administration-pushes-for-more-non-profit-for-affordable-housing-20160720.page '],"['housing', 'development', 'administration']",[],[],"{'2000', '2016', '2023'}",[]
"['NYCHA Unveils Third Digital Van, Expanding Internet Access in Public Housing Communities']",['https://www1.nyc.gov/site/nycha/about/press/pr-2016/nycha-unveils-3rd-digital-van-expanding-internet-access-in-public-housing-communities-20160719.page '],"['housing', 'public']",[],[],"{'2016', '2023'}",[]
